scientificName,family,canonicalName,matchedScientificName,status,matchType,confidence,usageKey,error
Ericameria nauseosa,Asteraceae,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,ACCEPTED,EXACT,100,3103017,
Eriocapitella hupehensis,Ranunculaceae,Eriocapitella hupehensis,Eriocapitella hupehensis (Lemoine) Christenh. & Byng,ACCEPTED,EXACT,100,9677963,
Eriogonum fasciculatum,Polygonaceae,Eriogonum fasciculatum,Eriogonum fasciculatum Benth.,ACCEPTED,EXACT,100,2889433,
Eryngium yuccifolium,Apiaceae,Eryngium yuccifolium,Eryngium yuccifolium Michx.,ACCEPTED,EXACT,100,3034408,
Erythronium albidum,Liliaceae,Erythronium albidum,Erythronium albidum Nutt.,ACCEPTED,EXACT,100,2752906,
Erythronium americanum,Liliaceae,Erythronium americanum,Erythronium americanum Ker Gawl.,ACCEPTED,EXACT,99,2752815,
Erythronium umbilicatum,Liliaceae,Erythronium umbilicatum,Erythronium umbilicatum C.R.Parks & Hardin,ACCEPTED,EXACT,100,2752903,
Eschscholzia californica,Papaveraceae,Eschscholzia californica,Eschscholzia californica Cham.,ACCEPTED,EXACT,99,2888380,
Euonymus alatus,Celastraceae,Euonymus alatus,Euonymus alatus (Thunb.) Siebold,ACCEPTED,EXACT,99,3169120,
Euonymus americanus,Celastraceae,Euonymus americanus,Euonymus americanus L.,ACCEPTED,EXACT,100,3169130,
Eupatorium perfoliatum,Asteraceae,Eupatorium perfoliatum,Eupatorium perfoliatum L.,ACCEPTED,EXACT,100,5402874,
Euphorbia esula,Euphorbiaceae,Euphorbia esula,Euphorbia esula L.,ACCEPTED,EXACT,99,8203538,
Eurybia divaricata,Asteraceae,Eurybia divaricata,Eurybia divaricata (L.) G.L.Nesom,ACCEPTED,EXACT,100,5396125,
